.id,place,zip,place_of_total,total_number,retired_number,disabled_number,widow_number,spouse_number,children_number,total_benefits,retired_benefits,widow_benefits,age65_benefits,zip_ben
Pennsylvania,,19346,,30,25,5,0,0,0,27,23,1,25,0.92
Pennsylvania,,19347,,55,45,0,5,0,5,61,50,5,45,1.11111111111111
Pennsylvania,,19348,,3385,2485,165,350,240,145,3721,2907,409,2850,1.16981891348089
Pennsylvania,,19350,,1090,750,105,95,65,75,1224,904,102,795,1.20533333333333
Pennsylvania,,19351,,45,25,5,5,5,5,42,31,5,35,1.24
Pennsylvania,,19352,,605,375,75,50,30,75,587,410,51,390,1.09333333333333
Pennsylvania,,19353,,20,20,0,0,0,0,21,20,1,20,1
Pennsylvania,,19354,,45,35,0,5,5,0,50,41,5,40,1.17142857142857
Pennsylvania,,19355,,3285,2415,220,265,200,185,3736,2938,306,2640,1.21656314699793
Pennsylvania,,19357,,65,45,5,0,15,0,75,61,2,60,1.35555555555556
Pennsylvania,,19358,,90,40,15,15,5,15,74,41,16,55,1.025
Pennsylvania,,19360,,60,45,0,5,10,0,63,51,5,50,1.13333333333333
Pennsylvania,,19362,,910,540,145,100,45,80,846,550,93,575,1.01851851851852
Pennsylvania,,19363,,2270,1405,290,260,120,195,2163,1469,250,1585,1.04555160142349
Pennsylvania,,19365,,985,610,120,120,55,80,950,649,118,710,1.06393442622951
Pennsylvania,,19366,,30,25,0,0,5,0,35,30,1,25,1.2
Pennsylvania,,19367,,80,50,10,10,5,5,79,53,9,60,1.06
Pennsylvania,,19369,,110,60,20,10,5,15,102,65,8,60,1.08333333333333
Pennsylvania,,19372,,320,205,45,25,20,25,324,230,27,220,1.1219512195122
Pennsylvania,,19374,,175,120,20,15,10,10,159,117,18,135,0.975
Pennsylvania,,19375,,190,145,10,20,10,5,222,176,23,165,1.21379310344828
Pennsylvania,,19376,,115,75,15,10,5,10,116,81,9,80,1.08
Pennsylvania,,19380,,8170,6035,475,830,460,370,9166,7161,970,6780,1.18657829328915
Pennsylvania,,19381,,120,70,30,10,5,5,115,74,12,75,1.05714285714286
Pennsylvania,,19382,,6305,4485,490,610,325,395,6877,5231,667,4845,1.16633221850613
Pennsylvania,,19390,,2050,1415,160,210,130,135,2088,1546,223,1630,1.09257950530035
Pennsylvania,,19395,,60,40,5,5,5,5,67,49,5,45,1.225
Pennsylvania,,19399,,40,30,5,0,0,5,52,42,2,30,1.4
Pennsylvania,,19421,,80,65,0,10,5,0,95,79,10,70,1.21538461538462
Pennsylvania,,19425,,900,620,60,85,55,80,1020,759,96,670,1.2241935483871
Pennsylvania,,19432,,25,20,0,5,0,0,33,25,4,15,1.25
Pennsylvania,,19442,,235,160,20,20,10,25,246,179,22,185,1.11875
Pennsylvania,,19460,,5240,3575,565,480,235,385,5378,3951,510,3940,1.10517482517483
Pennsylvania,,19480,,40,30,5,0,5,0,46,38,2,35,1.26666666666667
Pennsylvania,,19481,,200,150,10,15,20,5,238,194,19,170,1.29333333333333
Pennsylvania,,19482,,20,15,0,0,5,0,24,21,1,20,1.4
Pennsylvania,,19520,,1200,890,90,95,85,40,1258,988,101,955,1.11011235955056
Pennsylvania,Wilkes Barre,,,60355,39110,8010,6445,2555,4235,53513,37016,5897,43595,
Pennsylvania,,18601,,45,25,5,0,5,10,32,20,1,25,0.8
Pennsylvania,,18602,,85,60,5,5,5,10,89,71,6,65,1.18333333333333
Pennsylvania,,18611,,15,15,0,0,0,0,21,16,1,10,1.06666666666667
Pennsylvania,,18612,,3350,2345,300,355,170,180,3112,2282,350,2620,0.973134328358209
Pennsylvania,,18615,,430,270,65,40,25,30,390,260,41,285,0.962962962962963
Pennsylvania,,18617,,425,250,70,50,20,35,362,231,46,295,0.924
Pennsylvania,,18618,,655,380,115,80,35,45,606,379,77,425,0.997368421052632
Pennsylvania,,18621,,1095,630,175,125,70,95,959,607,111,720,0.963492063492063
Pennsylvania,,18622,,65,40,10,5,5,5,60,38,7,45,0.95
Pennsylvania,,18627,,45,25,5,5,5,5,43,26,8,30,1.04
Pennsylvania,,18629,,350,200,55,30,25,40,303,193,31,210,0.965
Pennsylvania,,18634,,3780,2450,515,430,140,245,3280,2283,370,2755,0.931836734693877
Pennsylvania,,18635,,765,475,105,85,35,65,675,443,73,520,0.932631578947368
Pennsylvania,,18636,,330,185,45,45,25,30,285,177,38,215,0.956756756756757
Pennsylvania,,18640,,4655,3050,680,445,165,315,4105,2859,399,3340,0.937377049180328
Pennsylvania,,18641,,1720,1160,225,180,65,90,1507,1064,169,1295,0.917241379310345
Pennsylvania,,18642,,1090,725,140,130,35,60,950,652,111,805,0.899310344827586
Pennsylvania,,18643,,3350,2155,440,370,150,235,3005,2057,342,2405,0.954524361948956
Pennsylvania,,18644,,1975,1380,185,200,105,105,1793,1313,187,1550,0.951449275362319
Pennsylvania,,18651,,2275,1405,335,275,85,175,1909,1294,228,1600,0.920996441281139
Pennsylvania,,18654,,40,35,5,0,0,0,38,32,1,35,0.914285714285714
Pennsylvania,,18655,,1515,980,225,140,60,110,1340,926,119,1030,0.944897959183674
Pennsylvania,,18656,,425,245,70,50,25,35,385,235,47,270,0.959183673469388
Pennsylvania,,18660,,815,495,120,85,40,75,708,457,77,560,0.923232323232323
Pennsylvania,,18701,,870,555,65,100,20,130,718,520,87,665,0.936936936936937
Pennsylvania,,18702,,9005,5595,1380,960,350,720,7681,5175,850,6285,0.924932975871314
Pennsylvania,,18703,,270,135,75,15,10,35,240,141,12,135,1.04444444444444
Pennsylvania,,18704,,7790,5075,995,935,315,470,7082,4875,908,5785,0.960591133004926
Pennsylvania,,18705,,3840,2690,430,385,115,220,3365,2457,349,2915,0.913382899628253
